VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
3.38519,kgPcpiN,3.8748,3.752,1,3,1.59,FsUGgzmyVJ,aJNVR,1.97,8.99,NLSe,1.17051,4,1,1.55,1.4284,1,7.40087,2.0048
OFJN,jrIZfRF,3,SgBY,1,7.5407,cTyh,5,frCae,2,vyapHaoVO,3,4.71451,3.11167,1.7632,1.67,VmL,KLO,5,2
SYKT,TZqScWi,1.4167,vjxq,1.67847,6.3758,bWbn,CBmHHsTnre,4.622,KdR,lxFsFsmck,2.75628,fuQgO,JzYyy,1,2,1.0449,2.6,HdbtWPtCTx,2
2,5,4,1.521,1,dclaHgdt,2.74,2,JMjmg,1,yeUruRPdo,2,opUil,3.53497,3.4527,HYhd,2.7727,ghH,HmsQGXvxgA,1.76087
HTdB,DiOkIqY,8,2.591,1.02638,sHRWnAtv,RcCF,dQbLkVwEnf,KIcJn,2,3.57,rGem,1,1.82538,1.748,xzdA,1.8276,1.65,4.61603,1
3,EzAdAJl,4.9639,1,1,frsRxoVQ,1,7,CsgDS,1,4,1.01414,3,4.8688,2,2,Exi,2.54,JVfXVjbXNe,1
3.2389,geqEJQe,5,QIVI,Ph,sOODEKUv,2,kIUwSiLwkG,1,2.04,5.28,3,YKtih,3,3.1035,3,2.335,ffp,1,eJZ
urCw,4.501,8,2.584,eL,ZEodWGjz,2.73,6,4.598,1.36,3.71,2.16567,1,BeMVq,2,1.27,2.8067,AKU,PpoSuyMGBY,1
1.87868,1.498,4,1.64,yb,6.775,bvRY,8,1,hxn,2.7,2,2,HguZf,rVim,Fdbw,1,1.09,SPLyUiEcpf,2.40376
1.18475,4,6,3,dB,5.4231,2,7,pGvsO,1.89,5.24,nADp,3,4,2,3.21,2,Khk,gXmFuXrKFU,1
YuZB,4.565,iUmvkRbzq,QlYo,Rd,1,1.34,4,yMZBg,2,4,Ebru,2,2,WsWI,rBvw,1.1208,1.84,aZumPCwCJN,2
BBGa,2.782,1.0177,1,1,ckuWoYKZ,1,3.5417,2.853,zEr,RLUyRnvAO,3.32399,4.57925,1,2.7628,fSjB,Twx,eDi,xjmFZvVlJA,1
jHvo,oYJEgEH,5.4169,3,hf,fbvONFpY,3,5,2.519,2.09,2,QLvg,3,TQumL,QVZC,2,luV,1,9,1
1,4.946,2.5682,3.239,1,7.5589,1.84,9,4.501,euJ,TrehuIFyE,vHCQ,pAShQ,4,1.3375,1,1,1,7,1.58652
2,6.141,FmWenxOoP,3.384,1.95362,eWfCeMKS,1.31,5.28315,4,kDG,3,3.7968,1.97237,2,1,vXJj,1,RnE,6,2.97899
3.10044,5.4,1,1,1,5,1,1,1.874,1,4.07,1.90832,1,fClxA,cDzi,1,2,2.09,wNDFUBLMrB,hxn
PNBM,2,8.1495,2.446,1.07342,2.9713,3.82,8.82252,UmVDS,2,yxIjstsue,3.41938,RnkqF,4,NfQi,3.75,2.8912,2,2.17637,2.34256
3.81547,1,BsJjWQAhO,pXgS,1,dzZnzNLt,pBdv,3.00908,SZsbh,1,OZPdBvnby,2.862,2.28228,ifMNX,2.5843,2.61,2,2.16,1,1.03475
mdrm,6,3,3.182,Pc,5.4806,1.2,8.69646,sPZCA,2,8.71,LDDs,4.75741,3.78532,1.021,1.25,2,Rki,7.05304,1
GsNe,4,8.2567,3.497,1.80576,7,upab,9,izBVO,2,WqDUWRIEp,JwTU,3.15335,1,1,3,Fhe,1,vFlToIbsKG,PtL
PXgo,3,5.2361,WqOb,fe,4.6217,1,4.37098,2,1,3.96,2.38114,3.6831,4.65885,1.1648,3.43,vev,1.54,1,aqn
ZVid,pMFgYzI,2,McVJ,1.52578,bBgMbnFv,FsWz,9.33472,PWGWx,1,4.93,3.58533,awRHa,3,RyGo,2,rsR,KdT,fRgtFugwOC,Weu
3.01028,6,5,zmHO,wT,4,bWXP,1.39553,2.736,waW,FmPvXcEcF,Yjdq,2.81724,2,JiVs,2,vma,2.42,6.65976,1.36046
3.92548,1.317,8,3.574,1,QAKDfyvb,1.63,6.24072,2,ChJ,6,3.56677,3.14207,4.32668,3.257,3,pqG,EnB,6,1.20729
btBe,5,5.0407,WXYg,lV,wSlBbSts,1.48,3.56376,2.05,2.67,7,arIN,4.3666,4,3.562,1,Aaj,2,1,2
3,IPxsRkl,5,KyBF,1,iJQFvqCZ,aMaA,EzowzgZncB,2.932,2,qIZbrhURf,nscT,3.63944,xepWm,1.1625,1,2,vfP,8.46,zmz
1,IovAHST,zZBgQuiiL,1,Iu,MUyJFTnR,3.09,1,3,1,6.05,vsOO,4,2,OHaE,1,OTd,EVu,QcJiVlMXBe,1.27
2,4.659,4,2,aN,VnlHuUSK,3,nMsfXptXIQ,axpkW,Ole,ByvEfEePM,1.53283,2,4,2,2,1,iyZ,9,UUa
lhsj,WXpUzDA,6.7845,1,1.32237,7.4709,3.08,3,1.46,KCC,2.59,qaNb,3.05,1,2,1,2.0032,2,IbzoczNcGA,2
2.68362,6,MaznAFFAQ,pYGQ,1,7.6411,3,8,4.958,2.45,3,3.00582,3,1.98743,XnEk,2.68,1.1414,1.79,2.53957,1.48515
2.52168,5.249,2,2.953,1.43904,YvjWqSPO,1.96,stPdNoNBnF,aXhQA,LiJ,3.61,3,4,4.02115,2,1.66,2.7745,2,4,2.81449
zHZH,5.532,gkSgUsKXH,3.194,1.18709,3,2,5.14533,2,1.44,FhFJFbomw,1.48532,FRBZn,JqhQV,2.4374,2.73,2.3831,2.33,8.99945,dAr
BydM,kciEtjc,8.5856,rcIz,1,5.1195,tece,CRbmdMHqAv,2,oyG,yZwncpAPh,3.52071,4.66689,csrXC,jOlV,3.92,2.6371,2,5.23301,BUl
DpLs,KWdiTPw,2.2129,1,1,2,LAYS,3.48322,2,1,3,2,MhAYu,1.59788,taNU,2.24,2.7887,tkx,JATRtxANgU,2.25451
nBRt,wAEGHzI,5,1,1,kIQnGozb,2.93,CDzSFzMszG,bsqLd,2,kcHYLYanP,3,1,3,Qsit,pmxn,1,2.99,PUGuVSVHXm,2.66028
tBmH,2.01,7.2069,3,qE,3.552,dbul,EmJELYyXew,YTcjt,2.08,2,2.75205,elcAM,jUZTb,3.8755,HKOs,2,PZo,6.64717,2
2,2,3,2.378,1.14697,7,coDH,8,2,2,7,2.25485,3.4517,1.87442,uFXX,3,2.8903,1,YCuyKCjLtp,2.25292
2.99571,2.792,8.3907,3.659,1,CmsYLMsO,1.33,mtTzKSCWLD,giZaA,1,lwBrIiksx,3,3,1,GKNT,YklJ,1.4427,2.12,OlLdyDHBrG,2.15479
3.04009,rzlUrGf,1.8609,2,1.00202,3,1,TRMDCqiCtg,4.49,1.86,6.99,2.14531,2,3.18945,pIJp,3,1,1.39,1,BxN
2.22252,BSLiwcg,7.6957,HTxF,Yk,3,1,7,2.087,1,3.34,Gybu,NtnfI,3.91149,QEVe,bkMU,2,2,2,1.37307
2,4.674,8,ksxn,1,5,2,8.22908,SDXUk,1.79,2.14,3.95457,3.82931,2.8167,LDNT,2,1.5069,1.39,5.35673,sum
1,2,2.4073,1.509,1.29518,7,2,6.00777,2.766,Djk,evFZYjKCM,zZfJ,4.08055,SJmOW,2,qRwa,VRO,sqT,4.21832,sCp
2.70045,5,8,PhRJ,1,7.9693,CQHG,1.25435,1,MaX,gXUcKZown,2,2.02859,2,1,2.63,ckW,1,LGSgzdDaUP,1
1.06616,RGwyEqn,OZfdPFKSb,2,1.31861,6.9472,2.59,2,2.189,tNd,1,3,oFUBi,esduq,ypSk,uWgd,pGe,1.76,7.41896,2
1,1,4.2999,iMFO,1.23052,7.8187,3.52,3.21188,3.434,2.05,2.49,qBZj,2,3,1,1,1,gTi,8.58257,2.87248
2.00998,2,8.3451,1,GF,6.2496,1,RYUgEzKTdM,2.196,2.67,armpfjGde,3.76357,1.26937,gWYik,2.2312,1,1,1.11,cVmFubusDp,2
XPvw,4,ngAakHXpp,2.963,1.67289,6,2,5.678,aSeZK,2.29,8,2.74369,3,GHzoB,2,jRml,2,2.71,cmeEJpsias,2
1,2.792,6,2,pn,6.2546,3,7.67964,2.012,2,VKGUeUxio,2.83072,VANRE,Mbjdw,2.2962,BstD,2.0016,1,WrCnXxVTyb,Yod
1,3,4.5638,1.133,uc,lEhLBOke,2,5,1.332,2,1.89,2,4.58334,qRVrH,2,2.18,2,cMb,7,2
1,2.861,8,3,jF,4.7883,FsAm,lDhdqotlxE,3.188,1.77,4,2.08229,3.6951,CRTYn,YhqR,1,IfO,2,iFyFFnvVGd,wdB
1.0509,5,7,2,1.69522,fZuNXjyJ,tkkF,7.0204,3,qkD,1.8,2,3.21316,kGpAA,fGLa,2,dAu,2.94,PEaGqfbUjr,IzB
1,bXyqbpc,4.4294,2.184,1,WEvRbkLn,owwg,6.90319,lxDiM,1.61,nJCxEQynU,3,gqNQx,4,1,3.88,jMx,lWM,3.12515,CDM
cFOi,5,5,fiUJ,hN,jJNAsTKG,EWsz,4,1.797,wRl,WBlaWbYhX,2,NMGGC,4,Patc,1.8,1.219,1.28,5.16659,SaE
3,3,eJFarROpd,1,1.08503,6,kkXf,8.17315,2.911,1.98,3,3.11263,1.67537,3.10341,1.2295,1.4,1.4834,1.71,6,ntO
3.79432,3,WkhXqsLDJ,MpdZ,Ka,qzTsILqj,1.49,7,3.749,1,5,3,1.18627,yPmNq,3.4704,JcUf,2,1,6,2.50191
2.02157,yPxZSRJ,6,gIjS,1,WQCFoWdS,Lzap,6.02666,RVaqC,mPx,5,1.30775,1,1.87198,1,2.34,1,2.33,5,wRY
2.7219,3.963,ZoPqdwrDT,TQEV,1,WLGoggNc,2.84,8,lNwQk,2.95,wzyvSZvaV,AvxA,4.05321,2.348,mOga,2,2.388,2,1.18189,1.97838
ZgRJ,1.916,2.4772,3.325,1,2,3,hQbysfdtko,rLsTa,oSk,1.43,1.32708,3.44854,1,2.0813,2,CFN,2.96,6.40044,1
3,4,3,3.396,Fi,4,1.59,9.05501,4.119,1.1,2.65,2,4.02689,YHYwS,2.7567,3,2.7662,2,IevxsisuaE,2.56204
bgaU,6.023,ctJVEUnyF,1.723,Pb,4.2069,noVX,7,lwxfy,1,4.48,2,1.67796,2.07394,1,1.27,XFj,2,8,1.98028
dOKX,5.232,1.6214,1,1.8379,1.4031,1.09,4.71935,hUAKD,1.97,1.05,3.71112,1,3.41705,sVpd,2,2.7506,1,8,2
1.64692,2.585,4,SfYL,AY,nRdBaGOs,1.42,ffHGAhULms,1,rCO,lyUPWiamR,XUdY,1.48232,2.89662,3.1212,IFTg,1.5392,2.99,3.54004,2
2.46106,4.538,5,1.773,Oj,3,2,9.58824,1.153,1.47,3,1.01726,1,3.35971,Mqeq,gpys,1.6682,bbZ,lTBWKnoxXy,2.23056
1,4,6,3.971,1.77278,4,FDwg,7.79622,2,JXm,LoyWYGiSi,eeuo,1.38635,znBOr,3.1181,1.85,2,bsY,rLkVOvhpAV,1.58226
mtOw,6.187,XdttosPRW,ZAAQ,HO,5.9142,XbWH,uCJZOHJPWc,1,2,unBBVlwgg,LnUc,2.81945,uhrpS,2.6791,1.74,zhz,2,EFQJWdQbBo,zZH
1.60273,UYgtBgj,TNiIkCHIu,1.487,fT,4.712,pcfh,4,1,OZc,8.24,3,YvMRn,1.01418,3,2.3,OjD,1,9,1
2.41158,3,1.2617,2.842,QX,6,3,4,HlBlp,zyq,4.47,BFSs,1.31305,Wwjwb,2,2,1,1.22,3.32982,2.77134
1,6,pWKxRNWAN,lwpD,1,3.6129,1,dooelanRUQ,IrsoY,1,5,1,4.042,xnYRo,2,2,1.8378,wVD,aDxexdKvML,2
1,5.279,7.9218,2.259,1.76905,5,3.93,8,1,PBU,DdkydxDUY,1,ZJeuS,3.52376,nPTc,ocss,2,eDn,TwtNuKuyIJ,2
2.41096,GpJjiYb,2,wbuH,1.80083,gHzTsYkc,1.76,5,STQKt,2,5.44,1.1243,1.44528,wMXpL,1,1,1.7477,2,3,1
3.1751,4.849,5.099,cVUf,1,4,1,9,4.768,yqS,nxdshHNPY,3,3.08219,UnMsv,1.0698,3.43,1,2,6,1.36852
1,lKphWga,3,3,1.69489,1.9611,asGp,1.44063,3,1,1.74,1,QSqxq,3,1.6997,wqeE,1,1.85,5.6575,Wrx
VRdW,4.17,nvFGhJmMN,2,We,4,1,9.19152,pPiCB,1,4,3,2,BWIhR,2.6319,kJno,1.885,1,4,Ymq
1,2.415,1,3.195,1,2.7222,tpvI,8.78634,tkSnM,mqC,cUwvHZfnZ,skNY,2.56675,BCdEU,DZgG,1.38,1.6709,1.39,mkejCbCVdj,2
3,3,nNuAlUvbm,2,wh,2,tNsN,GJLaWiHvKI,1,otT,1.04,3,ovfkS,1.43363,cRUA,iPhS,ujx,wxJ,4,2
NMaA,6,TuCGikJgS,IkGm,1.93591,EPYEODig,3,hvUEjqghXz,YWMMj,1.92,pvxpwpHYS,2.70987,eqZsO,1,3.4475,3,1,VKE,ffEoRurKWm,1
1,6.959,5,3,QG,2,2.9,oZqioKdLLF,2,2,mAGXQKNpR,3,1.78954,2.07925,kDYM,nGRk,QAO,1,2,2
oklh,buDUWqf,npkUymSAd,1,gi,vJAtTGtR,1,3,KgyeE,rqr,ZVBewKTqv,3,2,1,1.3662,3,2,Xph,3.09497,1
gQDE,QLmwZiq,wqTRhDqWC,3.963,1.96654,2.4928,EXLu,5,2.136,1,2.79,nEoa,1,3,1,2.0,1.6384,1,3,2
3.89036,BIqpQrZ,6,2.45,Rd,6.1331,lXTW,4,4,1,4.18,fzSQ,NNYiv,2,1,1,BDT,2,3,Etl
2.86859,5,JPYzTiVok,1,1,6,2,DfNuhfDrvU,4.67,YaK,7.19,3.07395,3.99176,2,1,Uszk,ozW,Wtc,qnOJGGrEog,1
1.316,6,VRcOQAxpr,3.169,1,4.0693,3,2,FTErs,1.04,1.24,1.70814,IFFAG,4,1.1183,puyn,tks,2.46,ufUbdEmaNb,2.6327
1.75875,2.749,6.3068,2,1,6.3065,3.99,ylrfnVXXdc,4.67,riR,8.39,1.3585,2.53511,dFJzY,3,3.83,VUY,FSM,5,1
2,5,7,NybP,sz,3,1.01,7.87644,FygPK,1,6.35,ntZy,4.74254,4.06829,3.4978,1.89,1.0608,1.22,1,2.70248
1.03336,2.563,7.8476,2,1,4.2391,FdrI,LEGjeToklc,1,2.09,sLLnBtFBu,2,3,4.6764,FJne,3,1,2,1.57618,2.15642
1.09532,1.033,1,2,1,2,GZZF,3,4,2.19,8.02,1,SniTW,1.57974,VdbE,2.37,BnC,HLE,gqXRZEJOLH,Sit
1,apKvPWY,5,Ngew,1,MjEkzAFA,3.57,aYjUGCYVoS,nefpg,2,7.11,3,PKQdM,1,1.971,wvhL,eSf,1,IQxNSMkesB,2
3,4.321,6,Lkny,1.60541,4,HQXL,6.27176,2.884,2,6.94,1.03572,2,AjfmX,2,1.51,2.8793,qdD,3.37066,2
2.88593,zczzbRA,1,3.327,pP,3.0434,atBp,VOfYPdVNPO,1,2,7,IJfk,mengK,4.79099,3.5559,2.33,1,2.9,pksrpNuSLG,1
3,3,3.0116,2.237,1.37143,3,1.05,9.41558,1.472,1.39,NMXYabBvU,1.33898,3.57161,3.71351,3,3.24,1,1,6,2
1,NDctDJu,1.3815,ehRG,1.00091,DDmBDfTH,1,1,1.037,vpf,4,EnJF,pnwdw,2,2.2291,3.9,1.8912,leW,bdtTtNyVOR,1
xSuo,1,1,3.575,1.53137,TvrGGhdF,2.48,6,1,2,5.26,3,3.44587,1.17513,1,3,DwL,1.04,1,1.06297
3,bZkhzJA,2,3.723,1.26053,2,IZLg,1.2072,iMHCx,1,5.42,3.28276,1,1.29983,1,Ktka,2,eYn,uSgsJLvEAc,jfQ
wVLQ,3.766,IsDhFRqen,3,1,xyoxNPKZ,OVgE,KckSGPtkZI,HBKQk,IqV,DNZeiZbYu,1.31943,JVbMn,XzXTA,2,2.15,2.1073,1,2,mFD
ialt,JAXwYwU,nupmDLCnB,3.936,1,3,MoyF,9,4.647,2,2.59,Putr,3,4,2,3,1,2.2,EjynZVowuD,1
wZpC,1,WjVeKiPcj,3,1,1,2.23,9.90286,gcnaZ,2.77,5,3.91585,Hleio,YIaDq,1,Nulw,Fir,1.66,3,1
3,1,8,3,1.89381,6,1.74,2.67427,1.034,1.55,3.89,3.36168,3,rsSlx,UAOu,GnKY,1.7327,1.79,aLqgwJrMXU,moI
2.46301,3.922,4.9671,ITCM,1.45645,RCigqFeh,3.75,4,3.164,1.78,5,1,4.47066,3.70294,3.3855,1.14,1.4635,RCo,8,1.53579
1.26293,4.4,ZPrPSPlvH,1.529,zn,4,3.0,8,3,1.09,jFZNDeDyi,1,1.42006,BCnvU,1,FvXE,2.3306,pBZ,6.09292,fGU
2,4,7.2492,1,qB,FraaADQH,1,qWsufYbeNM,2,vqm,XDaJvsmCz,ORwf,2.09955,2,VpMS,3.11,zfd,UTY,2.31735,jon
3,3.224,8,1.491,1.80304,pTqOVSSR,2,8,1.265,2,YABMhBngp,NfsU,1,2.96763,2.3753,2,2,1.32,abExoUGfPk,2
2,1,1.0991,3,1,DjAdlcTG,YXBB,4.4109,3,1.78,2,2,3,3,1,2.29,2,uDG,6,UoO
nNBM,ahBaNaY,5,3,1.60809,gNrZFvKH,3,5,jBiCN,2.23,5,3,DuwuG,2.14585,hmqY,1.25,1,1.6,1,oOu
OQaQ,6.978,3,3.068,1,1.5309,uCZh,OBZdhEroim,1,1,4,ybTu,2,2.76073,2.0697,Agwp,2,1.31,4,1
3.74518,dxgKgaS,2,1,DC,sIJLDltp,3.23,2,1.82,yGR,6,IrgW,4,4,IyRW,3.7,2,YKU,FvkJsxKWKz,1.80712
2.42481,OkshhWi,5.1073,2,NN,brkpdUju,3.51,2,1.782,1.41,EzvDyfZGk,1,1,3.58632,jXaQ,yuvk,rlP,1,EtXainNomw,1.04339
1,2.167,SOJRtyPly,2.442,an,7.1508,3,8.2832,4,2.91,1,3.2529,kfukq,4,OwBI,1.56,2,Ukq,BnquKCDCPl,1
vaHO,TgoyZQH,IRLGjRleR,3.251,kU,UEIVByEI,3.8,4,mSKBR,2,4.1,2,1.75309,QztCZ,3.7402,BQqr,1,1.41,eChWbzGVwO,2
2,SdjmxYm,6,YnrG,1,aZFJUOZH,2,1,4,1,4,2.06337,4,3,3.9437,2.72,1.0052,2,8,ggC
SjxM,2.367,4.1836,1.26,1.44844,GejfOjcH,1.48,8.5349,3,2,gurKynSlu,1.67069,2.74506,YuTGd,qnMm,2,2.3039,nEn,6.77241,1.33463
3,RznXcDk,8.3375,1.785,1,tuQuUXwn,yYtr,6,1.553,ltE,7,kHBM,3.05938,LqmAi,3.8303,2.02,DDf,1.5,tJJjcVjiqZ,GxH
2.68741,1.344,XvGYKEXbG,2.64,1,SHtadkuO,RoUJ,bgZaYARkpL,oDgMl,1.72,1,3,2,zzNAd,3,1.7,ykz,2.15,9.70379,1
2.55797,gSdJnIA,YLhYXHOLR,3,oy,3,2.67,3,1.516,2.67,jiINnUSVB,1.09113,1.21915,4,xLhG,2,2.9177,2.25,sQYwORkTZZ,CXs
2.70691,BibdPaH,3,bLAQ,1,4,3.11,2.87497,2,1,PqfjkpjTb,2,4.6596,3,othP,2,1.8249,2.0,2,2.4511
2,1,8.4152,rvRJ,1.38722,3.6386,3,3,Ywrpw,2.22,yDzQbAspM,fUMu,gBqtp,3.94173,PPTl,Jsfn,2.0938,1,zqrzJqhIlH,2
1.30129,6.219,7,lYFM,xK,AXRUiNQb,2.56,xosEUUJXLl,4,GbG,5,3.72206,2.15184,1.81574,Pflq,XSkj,iOB,1,2,1.31036
EpDS,6,8,cuRm,1,VCVgRYVM,2.98,qrmnSqHlAB,fMlwj,2,TDRshAifM,3,hxSnu,DONVs,3,3,rRB,bBT,9.34271,vaz
3.29624,AODpAGF,NjXKQHWFF,1.886,1,7.17,3,7,4.918,MBz,3.54,3,YKtWn,BzAgQ,1.6188,XoCX,1.064,1.63,oxPHezTCFD,2
2,2,4.3311,ACYd,1.08447,4,iYUj,TDVXtucACF,3.909,aqO,EgNWpMlZj,1,mVUZz,3.1147,2,Wsbl,2.9826,2.59,rofmavHtcZ,1
3.30142,KqdBdhi,3.1619,3,xB,2.8047,HlLm,9,1,1.86,RGfRCKlsn,2.29695,2.48173,1.54678,1.7251,tlCb,Npb,1.42,1.67618,QRk
GGQT,uceMUyc,2.2915,1,1,fwCnqfkl,PmPb,1.32099,rOdbO,BBZ,5.63,QisM,1.11049,1,3,pMtE,yTi,evq,8,1.22557
UjnC,6,CVkvXGdYI,UKsQ,Um,CPNRDCSz,SnrX,1.3766,2,1,4,3,rGWtj,4.76296,2,1,1.585,JhB,UFToTjsnlI,1.98463
2,5,7.4209,iQwS,1.6411,6.5373,OxGw,6,fmXCX,ZbI,5.28,bWaA,EPsUG,ucNdP,3.7733,wSjh,2,mOl,MPCwPNVxCn,1.4065
CyBl,3,3.3816,2.519,1,TRWyWMHT,2.87,3.72683,2,1.63,3,1.46416,4.09861,kpAqY,3.9551,2.79,2.3704,GWy,lPFcDVvjva,2
2,1,2,1.362,1,3,XzKl,8.91946,2.953,1.6,8.48,JOrz,4.29242,EARVK,3,3.45,2,lGZ,4,1.88515
2.06797,CNDaezS,5,2.852,he,6.2243,2,MTCHXlyhNj,dPKvW,2.6,8,CoCn,OCHSL,4,SiUV,3.6,2.8488,YAb,8.15264,2.97397
3.91422,GIBVTkC,dUbJNkcUC,2.366,Cq,7,tRTb,1.30571,ualNI,1,4.17,2.68817,dCGch,1.52652,BiSS,3.11,eBE,DGR,7.32872,1
1.46765,1.31,2.2221,hPKm,Mj,4,hfWa,4,1,2,OUiyREeWx,xcQs,bGEae,POOlR,2,cKGG,1.169,1,nDOTVoDzUB,wYY
1.55809,6.286,OBmkUuZNJ,3,1.87075,1.5542,1.85,8.42936,FxiLt,1,5,1.14555,kIbvJ,4,2.4692,1.14,1,xkx,1.87189,1
dRaL,lwOvGqp,8,3.937,1,4.4548,2,7,4,2,DdmVfsaoq,1.06748,1,1,cjrF,3,1.8942,gYh,iClHtitxgc,1
1,1.141,4.1671,uoGt,se,2.0041,xpjb,6,2.026,RwE,3.96,3.77794,BXLIe,zQGEw,jiAU,PGJp,nWi,Kth,2,1.60317
2,1.573,7,3.0,1,5,1.59,2.25287,4.371,1,MTZIuQyGY,EAbM,DSXVP,4,1.3287,XyLQ,2,zWD,8.35047,2
3,1.59,3.6186,3.478,1.98803,3.0125,2.95,OInDDLMbKB,UYESi,Dfn,3.24,IJPh,Nflls,2,2.1977,1,ONN,2,9,1
1,dsGecog,FMfqPyGWh,EEEb,qD,urTWLouq,3.26,4,iDnis,1,4,2,3.31059,1,rQiR,oiOM,1.9205,2,9.9963,AvJ
3,LENOjyD,ZPGQhJUeX,HFJQ,qB,fqTvzAoB,1,FRZNKxaLXZ,ADzcT,2,7,SZoC,2.43767,2,3,3.68,1.3315,1.14,9,eRG
zZtw,1,6,3.696,1.63734,7,3.84,2.87808,2.09,iRX,YbxBMrHCp,MIDl,3,LWLzS,2.0332,3.47,1.1246,xbI,5,ytp
3.30852,cFXKhml,7,3,1.28049,ktzraFsi,3.59,7,1,1,INBmFfCHO,3,gLsQT,2.86242,1,2,vgn,wTu,7,1
3.28446,6.831,3,2.492,1.44282,DmqkDeCe,3,mdVjEdvzrD,1.864,2,7.0,3.42592,2.89526,3,3.1874,1.51,1,UnS,wsfSvZKOMv,oTw
oKsK,5,2.4698,tkoF,kg,KCMjAnaO,mUNW,4.79163,3,2,2,2.58745,4.36533,1,EScG,2,2,2.2,9.29039,thS
1,2,YCqgcOiyN,1.201,1,KgZbDnbQ,2,3,3.118,lwn,AfpYpMYem,3,ownrN,4.75315,kUlq,1.18,SuD,ogF,7.82112,2.75147
2,6,zLyXoGHRq,vJsm,Sk,4,QZNt,HbcjEAmeFj,HyXxB,2,6,MulZ,HdpVa,1.53315,1.4679,ZXus,2.8753,ISv,mdrywnKBPh,2
eOgx,wBzZUKL,1,1,ia,eCFJLXiZ,TEOj,4,JXedN,Qjf,GsgHFyZfO,tJTj,cvbSP,1,1,1,xgX,vXx,7.13919,XzN
3,mtBnMln,4,3,1.61869,2.8029,1.48,3,Othxq,Zog,4,dNct,3,2.98811,2,Cfmw,2,rWD,6.01931,aqD
1,6.192,6.2817,jUKp,1.18614,3.0365,LRsq,4,sWyDO,SDd,5.23,3,2,yUnOa,OsUn,1.93,rgO,2,7.73098,2.66901
1,HcicvaK,ilvXiOKfe,YnGx,1,hHxLhzXy,3.89,invlrtdoHQ,3.092,2.99,2.49,inPf,XYtkM,iAZfh,2.9245,WFDZ,2,1,1.46228,dIf
1,1.731,lFPaHzyjP,3,1.44499,3.3572,1.01,3,2.397,2.4,8,inHw,KYoQX,GByRk,3,Awdv,2,wQZ,4,XBs
IaCv,qRvZNuy,7,1.83,1.9021,3.5971,ZqIV,rZOVoJUHXZ,4,1.53,6.93,1.51965,1,4.26758,2,uPJX,lnM,1,8,Dhu
2.93065,xlLruDw,3.099,2.673,MS,MQINUjpK,3.49,2.26101,2,1.03,4,1.47216,sBSoi,MFzTx,3.9995,1,1.6594,2,3,YXW
1,5.851,1,2.159,1,1,3.73,9,LWiVv,2,bbiZXgbmZ,3.87499,4,2.03297,2.6279,1,2.8724,jLM,5,jvO
2.55856,3,2,2,mR,6,1.87,3.43561,2,zLr,8,1.09948,Vuhyz,4.77724,1.3148,Caec,1.5333,SXK,5.4614,1
3,6,rlJoUuYfm,2,1.80487,3,vLjz,efBhguXwEV,1.3,pmZ,5,URVE,tebzd,NLOzk,2,cCvU,2.9418,uzu,5,2
GuxC,5.614,PItrbLjPs,nSit,Vt,3.2453,1.21,9.72524,4,sxb,5.88,3,4,2,2,xeeJ,Cjl,1,xuASfrgPRt,1
2,PFSIzAl,3.8594,2,1,5.0219,2.87,kXaINfhORu,3.044,uxr,mICJjmqPL,3.18862,2,1.58204,2,2,2,jXt,6,jpY
3.27384,4,yQTplwoIc,WylE,1.55619,tAMFqvkD,fLHT,3.44886,3,Dzc,2,3,4.70871,1.13833,2,Zxsh,1.4539,2.84,6.48546,1.28483
BQZW,1.472,3,3.233,1.28741,5,2,IBALSarJPv,3.215,2,ZLkhGKuDM,1,RyIZh,4,3,1.02,OhD,GlU,AgnkSCRVou,2.09824
1,3,CbGKFyOpr,ANUO,Ra,ewqdNwBe,1,6,mrAiX,EEv,MWJzBosJn,2.28768,4,2.8151,1,ZVDp,IuC,2.2,5,1.37122
1,2,ARxXJksVW,hIQn,1.39037,dYZvgnsq,3,7,1.747,2.02,OTXdwpkUw,3.42502,zYzkz,1,1.2183,1,oBI,2,LxZrcitKqo,DBR
3,3,XrhnqjIBZ,ceuK,1.04677,2,1,6.90169,4,aXY,TRCosmztS,3.19112,lBYXO,3.30439,phyp,Aodk,HuP,AtS,7.89131,1
2.99253,6.869,4.1899,ACiR,1,grFKSrtp,2.88,4.61789,4,1.14,7.23,1,2.0209,VWSOq,LfRq,3.18,2,gaI,9,2.05293
PmKl,3.273,8.6794,BrOd,1,3.84,3,6.23596,1.058,1.32,6.37,3.05393,2.43609,cbguE,2.523,IsKC,1.8168,2.77,3.02806,rOd
3.98347,wteAQIW,1,1,bj,fmHjiozc,1.02,9,kvjWC,1,7,wVCR,1.05452,3.92883,2.35,3,2.5646,2.65,zuPvOXbTFB,2
3,2.858,4,3.231,Ot,lFkGZzbR,2.73,2.29331,2,Vva,6.31,1,JPmJd,4,3,3.46,Eqw,1,OngNqRHkBk,lBL
2,2.208,3,LdhF,1,nnsnzyEY,3,4.70832,1,2,EHtAELujn,WbeV,IFzPb,2.75697,2.962,RhJG,2.4173,1.05,rAjroawjID,1
